Row.names,Gene.stable.ID,Crab.eating.macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID,Skin,Heart,Brain,Muscle,Spleen,Adipose,Thyroid,Colon,Lung,Liver,Pituitary,Adrenal,Human expression breadth,Chicken expression breadth,Brain expression constraint percentile,Heart expression constraint percentile,Liver expression constraint percentile,Lung expression constraint percentile,Muscle expression constraint percentile,Mean mammalian phyloP score
IREB2,ENSG00000136381,ENSMFAG00000039630,ENSMUSG00000032293,ENSRNOG00000013271,ENSCAFG00000001766,4,0,-7,0,-11,11,11,0,10,0,0,-11,0.440781742,NA,NA,NA,NA,NA,NA,4.10248
IRF1,ENSG00000125347,ENSMFAG00000041040,ENSMUSG00000018899,ENSRNOG00000008144,ENSCAFG00000000851,-8,0,0,0,0,11,-11,11,-10,10,0,1,0.283189394,0.319471399,0.422088084,0.645910984,0.708196721,0.674556917,0.827726433,2.91696
IRF2,ENSG00000168310,ENSMFAG00000039751,ENSMUSG00000031627,ENSRNOG00000009824,ENSCAFG00000007761,11,0,0,6,-8,9,11,0,0,0,0,13,0.435305145,0.480966823,0.997764364,0.960644595,NA,0.799571785,0.754651879,3.8204
IRF2BP1,ENSG00000170604,ENSMFAG00000010425,ENSMUSG00000044030,ENSRNOG00000014252,ENSCAFG00000004361,-4,0,13,-11,11,11,11,-11,-10,0,11,1,0.596198601,NA,0.803040465,0.842578382,0.956319408,0.80076127,0.714356131,2.06453
IRF2BP2,ENSG00000168264,ENSMFAG00000041239,ENSMUSG00000051495,ENSRNOG00000049900,ENSCAFG00000011522,0,0,0,0,0,0,0,0,0,-8,0,0,NA,NA,NA,NA,NA,NA,NA,3.24239
IRF2BPL,ENSG00000119669,ENSMFAG00000000638,ENSMUSG00000034168,ENSRNOG00000011026,ENSCAFG00000017158,-4,0,0,0,0,-11,0,0,6,13,0,1,0.673420008,NA,0.949921753,0.961411971,0.996298255,0.831866302,0.697720271,2.45488
IRF3,ENSG00000126456,ENSMFAG00000033004,ENSMUSG00000003184,ENSRNOG00000043388,ENSCAFG00000003594,-8,0,13,0,11,11,-9,-8,-11,0,11,0,0.384097949,NA,0.583053879,0.819995615,NA,0.547282027,0.586444855,NA
IRF4,ENSG00000137265,ENSMFAG00000045100,ENSMUSG00000021356,ENSRNOG00000061070,ENSCAFG00000009156,-11,0,0,0,0,-9,-4,1,0,0,0,0,0.169529908,0.258123758,0.147551979,0.41394431,0.376573242,0.807779232,0.264941466,4.15997
IRF5,ENSG00000128604,ENSMFAG00000043616,ENSMUSG00000029771,ENSRNOG00000007437,ENSCAFG00000001611,0,-11,13,0,11,11,0,11,0,0,11,11,0.201748059,NA,NA,0.370752028,0.34362771,0.410610206,0.482193469,2.70347
IRF6,ENSG00000117595,ENSMFAG00000033961,ENSMUSG00000026638,ENSRNOG00000005082,ENSCAFG00000011971,13,0,0,0,0,0,0,10,0,0,8,0,0.143289306,0.255334871,0.332103734,0.165095374,0.678476996,0.846199596,0.122982132,4.55002
IRF7,ENSG00000185507,ENSMFAG00000039781,ENSMUSG00000025498,ENSRNOG00000017414,ENSCAFG00000006557,11,1,0,-6,6,13,0,0,0,0,10,1,0.326177921,0.281581953,NA,NA,NA,NA,NA,0.74494
IRF8,ENSG00000140968,ENSMFAG00000031542,ENSMUSG00000041515,ENSRNOG00000017869,ENSCAFG00000019919,-1,0,0,0,0,-11,-6,10,6,-9,11,-1,0.132593511,0.240098771,0.705790297,0.382701162,0.561713379,0.327822053,0.25064695,3.38302
IRF9,ENSG00000213928,ENSMFAG00000001203,ENSMUSG00000002325,ENSRNOG00000019478,ENSCAFG00000012007,6,6,0,0,0,6,0,0,0,-9,0,0,0.306303246,NA,0.502682763,0.589563692,0.818085669,0.722612109,0.693900185,NA
IRGQ,ENSG00000167378,ENSMFAG00000038648,ENSMUSG00000041037,ENSRNOG00000046500,ENSCAFG00000031996,-6,0,6,-6,6,-6,-6,-10,0,0,-1,0,0.499693123,NA,NA,NA,NA,NA,NA,0.897377
IRS1,ENSG00000169047,ENSMFAG00000039993,ENSMUSG00000055980,ENSRNOG00000014597,ENSCAFG00000010397,0,0,0,6,11,-1,0,-10,0,6,-1,0,0.355586049,0.535784902,0.702436843,NA,0.610576415,0.706316165,0.703388786,2.3933
IRS2,ENSG00000185950,ENSMFAG00000042382,ENSMUSG00000038894,ENSRNOG00000023509,ENSCAFG00000006058,-6,0,-6,0,-1,-6,-6,0,0,-8,-11,0,0.631376028,NA,0.895819361,0.582766937,0.429508197,NA,0.835859519,2.02174
IRX1,ENSG00000170549,ENSMFAG00000001989,ENSMUSG00000060969,ENSRNOG00000033609,ENSCAFG00000010422,0,0,0,0,0,0,0,0,0,0,0,0,0.144885192,NA,NA,NA,NA,NA,NA,3.33839
IRX2,ENSG00000170561,ENSMFAG00000003549,ENSMUSG00000001504,ENSRNOG00000012742,ENSCAFG00000010427,0,0,0,0,0,0,0,0,0,0,0,0,0.142399859,0.135866449,0.004806617,0.495724622,0.320888419,0.520042821,NA,3.62814
IRX3,ENSG00000177508,ENSMFAG00000032048,ENSMUSG00000031734,ENSRNOG00000011533,ENSCAFG00000032579,0,0,0,0,0,-9,0,0,0,0,11,8,0.148227314,NA,0.121842164,0.527625521,0.043257536,0.451171643,0.300061614,2.7352
IRX4,ENSG00000113430,ENSMFAG00000044841,ENSMUSG00000021604,ENSRNOG00000012720,ENSCAFG00000010441,6,0,0,0,0,0,0,0,0,0,0,0,0.105767146,0.120020159,NA,0.3666959,NA,NA,0.289463956,2.80016
IRX5,ENSG00000176842,ENSMFAG00000002928,ENSMUSG00000031737,ENSRNOG00000011180,ENSCAFG00000009443,0,0,0,0,0,0,0,0,0,0,0,0,0.119068568,NA,0.022524033,0.619162464,0.031094659,0.550017842,0.058040665,3.50674
IRX6,ENSG00000159387,ENSMFAG00000046096,ENSMUSG00000031738,ENSRNOG00000011037,ENSCAFG00000009430,0,0,0,0,0,0,0,0,0,0,0,0,0.237655393,0.148794661,0.237983456,NA,0.321628768,0.072201737,0.065126309,2.59307
ISCA2,ENSG00000165898,ENSMFAG00000036612,ENSMUSG00000021241,ENSRNOG00000012085,ENSCAFG00000032473,0,0,0,0,0,0,0,0,-6,0,0,-8,0.553132525,0.736679664,0.468030405,0.570708178,0.623796933,0.565005353,NA,NA
ISCU,ENSG00000136003,ENSMFAG00000045386,ENSMUSG00000025825,ENSRNOG00000000701,ENSCAFG00000011324,0,11,0,6,-11,0,6,-11,6,4,10,-8,0.546499113,0.565266121,0.224346076,0.308704232,0.294235854,0.304983942,0.325569932,3.80802
ISG20,ENSG00000172183,ENSMFAG00000032331,ENSMUSG00000039236,ENSRNOG00000054561,ENSCAFG00000011525,0,0,0,0,0,0,0,0,0,0,0,0,0.171223979,NA,0.007712944,NA,0.018297197,0.138693946,NA,1.27413
ISL1,ENSG00000016082,ENSMFAG00000035949,ENSMUSG00000042258,ENSRNOG00000012556,ENSCAFG00000018449,0,0,0,0,11,11,11,12,11,11,0,-11,0.172621316,0.129372726,NA,0.388949792,NA,0.289758535,0.163894023,5.83081
ISLR,ENSG00000129009,ENSMFAG00000019008,ENSMUSG00000037206,ENSRNOG00000048924,ENSCAFG00000017866,-4,11,13,11,11,11,-11,-11,0,0,1,8,0.374540744,NA,NA,NA,NA,NA,NA,1.27207
ISLR2,ENSG00000167178,ENSMFAG00000014180,ENSMUSG00000051243,ENSRNOG00000050714,ENSCAFG00000017865,-9,0,9,0,0,0,0,0,0,0,0,0,0.161553547,NA,NA,NA,NA,NA,NA,NA
ISPD,ENSG00000214960,ENSMFAG00000041254,ENSMUSG00000043153,ENSRNOG00000006199,ENSCAFG00000031802,0,0,0,0,0,0,0,0,0,0,0,0,0.621120114,0.350209037,0.655935614,NA,0.336435748,0.50196265,0.389772027,2.09876
IST1,ENSG00000182149,ENSMFAG00000041905,ENSMUSG00000031729,ENSRNOG00000015144,ENSCAFG00000020215,4,0,0,0,0,11,13,12,10,0,-6,-8,0.609499726,0.652702914,NA,NA,0.933580116,NA,0.765742452,5.7784
ISX,ENSG00000175329,ENSMFAG00000002513,ENSMUSG00000031621,ENSRNOG00000039808,ENSCAFG00000001735,0,0,0,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.20173
ISYNA1,ENSG00000105655,ENSMFAG00000044263,ENSMUSG00000019139,ENSRNOG00000019741,ENSCAFG00000014817,6,6,9,0,6,11,-9,-10,0,0,11,4,0.363345301,NA,NA,NA,NA,NA,NA,2.85236
ITCH,ENSG00000078747,ENSMFAG00000041734,ENSMUSG00000027598,ENSRNOG00000059043,ENSCAFG00000007528,4,0,-7,0,0,11,9,11,10,0,-6,0,0.813328629,NA,0.86787391,0.909778557,0.833209942,NA,0.954775108,4.77236
ITFG1,ENSG00000129636,ENSMFAG00000038548,ENSMUSG00000031703,ENSRNOG00000015843,ENSCAFG00000010234,4,0,0,1,-11,11,-11,0,10,0,-6,-8,0.573623473,0.261240908,0.945003353,0.867901776,0.749021682,0.968835494,NA,NA
ITFG2,ENSG00000111203,ENSMFAG00000002177,ENSMUSG00000001518,ENSRNOG00000006264,ENSCAFG00000015661,0,0,0,0,0,0,0,10,0,0,0,0,0.469556581,0.467267781,0.655823832,0.61992984,0.666102591,0.620673248,0.601232286,NA
ITGA1,ENSG00000213949,ENSMFAG00000034671,ENSMUSG00000042284,ENSRNOG00000053550,ENSCAFG00000018439,8,0,-13,11,11,11,11,-11,11,11,-11,-11,0.374852996,0.303151403,0.309188464,0.727252795,0.72575357,0.432853574,0.445841035,3.18692
ITGA10,ENSG00000143127,ENSMFAG00000043309,ENSMUSG00000090210,ENSRNOG00000021217,ENSCAFG00000011346,-6,0,0,0,0,0,0,0,0,0,0,0,0.181728587,NA,0.375363291,0.280092085,0.262929667,0.272629951,0.503265558,2.85106
ITGA11,ENSG00000137809,ENSMFAG00000001090,ENSMUSG00000032243,ENSRNOG00000006723,ENSCAFG00000017482,-4,6,0,11,1,11,0,-10,9,0,1,4,0.48303331,0.281849042,0.284931813,0.475443982,NA,0.349708576,0.625385089,3.33033
ITGA2,ENSG00000164171,ENSMFAG00000031678,ENSMUSG00000015533,ENSRNOG00000058111,ENSCAFG00000018423,11,0,0,0,-2,-13,0,10,9,0,4,8,0.31347927,0.188448488,0.082942097,0.348498136,0.168164992,NA,0.614664202,3.04313
ITGA2B,ENSG00000005961,ENSMFAG00000039636,ENSMUSG00000034664,ENSRNOG00000022071,ENSCAFG00000014145,0,0,0,0,0,11,0,0,0,0,10,0,0.331891431,NA,0.302146211,0.444420083,0.249074564,0.258594029,0.349106593,NA
ITGA3,ENSG00000005884,ENSMFAG00000043382,ENSMUSG00000001507,ENSRNOG00000004276,ENSCAFG00000016987,6,-6,0,0,0,6,0,0,0,0,0,8,0.336146056,NA,0.742901856,0.825038369,0.876573242,NA,0.753049908,2.63889
ITGA4,ENSG00000115232,ENSMFAG00000038317,ENSMUSG00000027009,ENSRNOG00000004861,ENSCAFG00000014175,0,0,0,0,0,1,0,1,0,-9,0,-9,0.165442489,NA,0.239883747,0.62683622,0.457006875,NA,NA,2.69946
ITGA5,ENSG00000161638,ENSMFAG00000036877,ENSMUSG00000000555,ENSRNOG00000057451,ENSCAFG00000006491,-1,0,0,-11,1,11,-11,0,11,11,6,0,0.279357069,NA,NA,NA,NA,NA,NA,2.99749
ITGA6,ENSG00000091409,ENSMFAG00000038164,ENSMUSG00000027111,ENSRNOG00000001518,ENSCAFG00000013006,4,-2,0,-11,-11,11,11,0,11,1,-10,0,0.452215089,NA,NA,0.503836878,0.370280275,0.690614964,0.83228589,NA
ITGA7,ENSG00000135424,ENSMFAG00000022956,ENSMUSG00000025348,ENSRNOG00000007905,ENSCAFG00000000060,0,0,13,0,11,-11,11,0,-10,-11,11,11,NA,NA,NA,NA,NA,NA,NA,2.56787
ITGA8,ENSG00000077943,ENSMFAG00000032706,ENSMUSG00000026768,ENSRNOG00000016538,ENSCAFG00000004656,-11,6,9,0,11,0,0,0,0,0,0,-11,0.230861083,0.251808239,0.376145763,0.244683184,NA,0.959914357,0.366112138,3.43694
ITGA9,ENSG00000144668,ENSMFAG00000040607,ENSMUSG00000039115,ENSRNOG00000043167,ENSCAFG00000004820,-6,9,-9,-10,-11,8,0,0,0,-9,11,-11,0.342064081,NA,NA,NA,NA,NA,NA,3.93824
ITGAE,ENSG00000083457,ENSMFAG00000035926,ENSMUSG00000005947,ENSRNOG00000046639,ENSCAFG00000019367,-11,-9,0,0,0,0,0,10,-9,0,0,0,0.485618083,NA,0.161189358,0.265128261,0.323638287,0.294159629,0.205606901,1.22868
ITGAL,ENSG00000005844,ENSMFAG00000003265,ENSMUSG00000030830,ENSRNOG00000017980,ENSCAFG00000016603,-4,0,0,0,11,9,-9,10,0,-9,0,0,0.129818486,NA,0.247037782,0.440802456,0.557800106,0.606399429,0.455822551,1.30702
ITGAV,ENSG00000138448,ENSMFAG00000003635,ENSMUSG00000027087,ENSRNOG00000004912,ENSCAFG00000014597,0,0,0,0,0,0,4,0,6,0,0,0,0.586152111,0.310425001,0.379610999,0.335672002,0.457429931,0.315213513,0.493900185,3.52127
ITGAX,ENSG00000140678,ENSMFAG00000032646,ENSMUSG00000030789,ENSRNOG00000036703,ENSCAFG00000016883,-1,-11,0,0,11,11,0,-11,0,0,11,-11,0.168416526,NA,NA,NA,NA,NA,NA,0.999613
ITGB1,ENSG00000150093,ENSMFAG00000034612,ENSMUSG00000025809,ENSRNOG00000010966,ENSCAFG00000003821,-6,-6,0,0,0,0,0,0,0,6,0,0,0.508520647,0.305654953,NA,NA,NA,NA,NA,3.35415
ITGB1BP1,ENSG00000119185,ENSMFAG00000045554,ENSMUSG00000062352,ENSRNOG00000059402,ENSCAFG00000003372,0,0,0,0,0,0,0,0,0,0,0,-8,0.372033245,0.389776625,NA,NA,NA,NA,NA,NA
ITGB1BP2,ENSG00000147166,ENSMFAG00000037969,ENSMUSG00000031312,ENSRNOG00000003596,ENSCAFG00000017081,0,0,0,0,0,0,0,-10,0,0,0,0,0.121284714,0.156172267,0.272412251,0.532120149,0.158434691,NA,0.327171904,2.62619
ITGB3BP,ENSG00000142856,ENSMFAG00000040062,ENSMUSG00000028549,ENSRNOG00000009116,ENSCAFG00000029300,-6,0,0,0,-1,0,0,0,0,0,0,0,0.540654581,0.238882268,NA,NA,NA,NA,NA,NA
ITGB6,ENSG00000115221,ENSMFAG00000002303,ENSMUSG00000026971,ENSRNOG00000008346,ENSCAFG00000009877,8,6,0,12,0,0,9,10,0,0,-11,0,0.285678697,0.179124493,0.176838811,0.095099759,0.35917504,0.684905436,0.390264941,3.54731
ITGB7,ENSG00000139626,ENSMFAG00000044578,ENSMUSG00000001281,ENSRNOG00000012208,ENSCAFG00000007065,0,-11,-11,0,11,11,0,11,0,0,11,-11,0.147120738,NA,NA,NA,NA,NA,NA,2.25339
ITGB8,ENSG00000105855,ENSMFAG00000000217,ENSMUSG00000025321,ENSRNOG00000006569,ENSCAFG00000002519,0,0,-6,0,0,0,9,0,0,0,-11,0,0.373109735,0.295416837,0.297451375,0.171234378,0.345637229,0.295349114,0.041651263,3.20555
ITGBL1,ENSG00000198542,ENSMFAG00000040769,ENSMUSG00000032925,ENSRNOG00000004516,ENSCAFG00000005918,-11,0,0,-10,0,-11,0,0,0,0,8,13,0.232900115,0.212198584,0.370444892,NA,0.106927552,0.2805995,0.397535428,4.9879
ITIH1,ENSG00000055957,ENSMFAG00000038345,ENSMUSG00000006529,ENSRNOG00000033386,ENSCAFG00000008867,0,0,0,0,0,0,0,0,0,0,0,0,0.08368079,0.112233428,NA,NA,NA,NA,NA,NA
ITIH2,ENSG00000151655,ENSMFAG00000045946,ENSMUSG00000037254,ENSRNOG00000001066,ENSCAFG00000005057,0,0,0,0,0,0,0,0,0,-8,0,0,0.084740379,0.112117225,0.221663313,0.177483008,0.718138551,NA,0.159950709,3.2859
ITIH3,ENSG00000162267,ENSMFAG00000038762,ENSMUSG00000006522,ENSRNOG00000017689,ENSCAFG00000015068,0,0,0,0,0,0,0,0,0,0,0,0,0.087326124,NA,NA,0.083534313,0.608038075,NA,0.315095502,2.2592
ITIH4,ENSG00000055955,ENSMFAG00000038477,ENSMUSG00000021922,ENSRNOG00000017381,ENSCAFG00000025533,0,0,0,11,0,11,0,0,-11,-1,0,0,0.090559652,NA,NA,NA,NA,NA,NA,1.3967
ITIH5,ENSG00000123243,ENSMFAG00000038573,ENSMUSG00000025780,ENSRNOG00000049614,ENSCAFG00000005096,-8,11,-9,11,0,11,9,-11,-10,0,1,1,0.190661713,0.190828657,0.719204114,0.541438281,0.221575886,NA,0.633394948,NA
ITK,ENSG00000113263,ENSMFAG00000000719,ENSMUSG00000020395,ENSRNOG00000006860,ENSCAFG00000017565,-1,0,0,0,0,-6,-11,-11,0,0,0,0,0.204825287,0.141292365,0.146657724,NA,0.452353252,0.703461401,0.233456562,2.72724
ITM2B,ENSG00000136156,ENSMFAG00000036817,ENSMUSG00000022108,ENSRNOG00000016271,ENSCAFG00000004447,6,6,0,0,0,1,11,0,0,9,0,0,0.643920621,0.305934228,0.682092555,0.627603596,0.655843469,0.693469728,0.908441158,4.12659
ITM2C,ENSG00000135916,ENSMFAG00000014731,ENSMUSG00000026223,ENSRNOG00000017359,ENSCAFG00000028707,-13,0,9,0,0,0,0,-12,0,0,0,0,0.183678042,NA,0.770064833,NA,NA,0.373617224,NA,3.34275
ITPA,ENSG00000125877,ENSMFAG00000039212,ENSMUSG00000074797,ENSRNOG00000021233,ENSCAFG00000031613,0,0,0,0,0,0,0,0,-6,0,0,0,0.501662648,0.163739818,0.435166555,0.722977417,0.840084611,0.491495183,NA,3.5828
ITPK1,ENSG00000100605,ENSMFAG00000040735,ENSMUSG00000057963,ENSRNOG00000008051,ENSCAFG00000011056,-8,0,0,0,0,-6,0,0,0,-9,11,8,0.26154436,NA,NA,0.4663451,0.740454786,0.584512906,0.520394331,4.63879
ITPKA,ENSG00000137825,ENSMFAG00000039864,ENSMUSG00000027296,ENSRNOG00000005284,ENSCAFG00000009562,-8,0,7,0,0,0,0,11,-13,0,0,1,0.124817346,0.535013451,0.609657948,0.355514142,0.530195664,0.148566671,0.12051756,3.25722
ITPKB,ENSG00000143772,ENSMFAG00000035876,ENSMUSG00000038855,ENSRNOG00000002969,ENSCAFG00000016055,11,0,11,11,0,11,11,11,1,11,0,0,NA,NA,NA,NA,NA,NA,NA,1.9638
ITPKC,ENSG00000086544,ENSMFAG00000002124,ENSMUSG00000003752,ENSRNOG00000013945,ENSCAFG00000005104,0,0,-6,0,0,-1,0,0,0,0,-8,0,0.401117942,NA,0.908674268,0.890594168,0.894976203,0.577732842,0.648305607,2.21737
ITPR1,ENSG00000150995,ENSMFAG00000044748,ENSMUSG00000030102,ENSRNOG00000007104,ENSCAFG00000023463,0,0,-9,-11,-6,-13,11,-11,6,6,8,-8,0.331592034,0.370366799,NA,0.774775269,0.419249075,0.94706792,0.817868145,4.9232
ITPR3,ENSG00000096433,ENSMFAG00000039709,ENSMUSG00000042644,ENSRNOG00000052795,ENSCAFG00000001130,-9,11,0,0,6,11,0,10,0,0,12,8,0.373568403,0.331252435,0.55209032,0.701271651,0.682496034,0.832163673,0.880961183,4.62471
ITPRIPL1,ENSG00000198885,ENSMFAG00000000051,ENSMUSG00000074825,ENSRNOG00000012151,ENSCAFG00000006559,0,0,0,0,0,6,0,0,0,0,0,0,0.340527451,NA,NA,NA,NA,NA,NA,2.01963
ITSN2,ENSG00000198399,ENSMFAG00000041820,ENSMUSG00000020640,ENSRNOG00000046741,ENSCAFG00000004019,0,0,0,-6,0,0,0,0,0,0,-11,0,0.459384972,0.358619778,0.534875922,0.531572024,0.753146483,0.928987748,0.742452249,3.6402
IVD,ENSG00000128928,ENSMFAG00000045329,ENSMUSG00000027332,ENSRNOG00000009421,ENSCAFG00000009116,-8,11,-6,6,0,0,0,-10,0,4,0,11,0.339474009,NA,NA,NA,NA,NA,NA,NA
IVL,ENSG00000163207,ENSMFAG00000017162,ENSMUSG00000049128,ENSRNOG00000009314,ENSCAFG00000023728,9,0,0,0,0,0,0,0,0,0,0,0,0.084230606,NA,NA,NA,NA,NA,NA,-0.206215
IVNS1ABP,ENSG00000116679,ENSMFAG00000039625,ENSMUSG00000023150,ENSRNOG00000002618,ENSCAFG00000013589,13,6,6,0,0,0,6,0,11,11,0,-4,0.530276753,NA,NA,NA,NA,NA,NA,5.10118
IWS1,ENSG00000163166,ENSMFAG00000016975,ENSMUSG00000024384,ENSRNOG00000014630,ENSCAFG00000004475,4,0,0,0,0,11,13,-11,11,9,0,0,0.745892005,0.521797729,NA,NA,0.729243786,0.706910908,NA,NA
IYD,ENSG00000009765,ENSMFAG00000031023,ENSMUSG00000019762,ENSRNOG00000016286,ENSCAFG00000000404,0,0,0,0,0,0,0,0,0,0,0,0,0.086607893,0.120875268,0.097697295,0.106665205,0.25637229,0.079100749,0.161429452,3.36749
IZUMO4,ENSG00000099840,ENSMFAG00000044044,ENSMUSG00000055862,ENSRNOG00000031950,ENSCAFG00000019426,-6,0,0,0,0,0,0,0,0,-9,10,-9,0.293471983,NA,NA,NA,NA,NA,NA,1.07862
JADE1,ENSG00000077684,ENSMFAG00000038238,ENSMUSG00000025764,ENSRNOG00000014066,ENSCAFG00000003808,-6,0,-6,0,-11,0,-6,0,0,0,8,8,0.455280006,0.271532128,0.981332439,0.909230432,0.793971444,0.825859403,0.964756624,3.74167
JADE2,ENSG00000043143,ENSMFAG00000027430,ENSMUSG00000020387,ENSRNOG00000004956,ENSCAFG00000001021,0,0,0,-10,0,0,0,0,0,0,0,8,0.494353175,0.434799512,0.890230271,0.945735584,0.648651507,NA,0.895625385,NA
JADE3,ENSG00000102221,ENSMFAG00000001112,ENSMUSG00000037315,ENSRNOG00000039837,ENSCAFG00000014811,6,0,0,0,8,0,0,0,0,0,0,0,0.291240393,0.389534668,NA,NA,0.823902697,NA,0.799753543,NA
JAG1,ENSG00000101384,ENSMFAG00000033249,ENSMUSG00000027276,ENSRNOG00000007443,ENSCAFG00000005627,6,0,0,0,0,9,0,4,0,0,6,0,0.244257238,0.248588893,0.553543483,0.923920193,0.785510312,0.459735934,0.946642021,4.76706
JAG2,ENSG00000184916,ENSMFAG00000037993,ENSMUSG00000002799,ENSRNOG00000013927,ENSCAFG00000018401,0,0,0,0,6,0,0,-10,0,0,10,11,0.348625393,0.368303458,0.880728817,0.690418768,0.467054469,NA,0.528527418,1.8476
JAGN1,ENSG00000171135,ENSMFAG00000038434,ENSMUSG00000051256,ENSRNOG00000009175,ENSCAFG00000028684,0,-6,0,-6,0,-6,0,0,-6,0,11,0,0.478868594,NA,0.490610329,0.734159176,0.890851401,0.717259427,0.769069624,4.75122
JAK1,ENSG00000162434,ENSMFAG00000003493,ENSMUSG00000028530,ENSRNOG00000011157,ENSCAFG00000018615,0,0,0,1,0,0,0,0,0,0,8,0,0.58418483,0.288413834,0.787167449,0.937294453,0.920042306,NA,NA,3.83274
JAK2,ENSG00000096968,ENSMFAG00000003627,ENSMUSG00000024789,ENSRNOG00000059968,ENSCAFG00000002102,0,-1,0,-11,0,-6,-11,-11,0,-11,0,-1,0.499313567,0.270420034,0.646881288,0.674303881,0.620941301,NA,0.709796673,4.39548
JAK3,ENSG00000105639,ENSMFAG00000034366,ENSMUSG00000031805,ENSRNOG00000018669,ENSCAFG00000015159,-8,0,-11,0,11,0,-1,11,0,-9,0,8,0.135492213,NA,0.243460765,NA,NA,0.319971452,0.071349353,2.41103
JAKMIP1,ENSG00000152969,ENSMFAG00000036205,ENSMUSG00000063646,ENSRNOG00000004998,ENSCAFG00000015859,0,0,0,0,0,0,0,0,0,0,6,0,0.120006113,0.401149423,NA,NA,NA,NA,NA,3.94017
JAKMIP2,ENSG00000176049,ENSMFAG00000041768,ENSMUSG00000024502,ENSRNOG00000019159,ENSCAFG00000006634,0,0,0,0,0,0,0,0,0,0,0,0,0.180998394,0.158577547,0.900514196,NA,0.175039662,NA,0.458471965,4.80527
JAKMIP3,ENSG00000188385,ENSMFAG00000032603,ENSMUSG00000056856,ENSRNOG00000027590,ENSCAFG00000028746,0,0,0,0,0,0,0,0,0,0,0,0,0.169048482,0.117059717,0.732729712,NA,0.318138551,0.18020697,0.254220579,3.5982
JAM2,ENSG00000154721,ENSMFAG00000042681,ENSMUSG00000053062,ENSRNOG00000042848,ENSCAFG00000008482,-11,0,-7,-11,11,11,11,0,11,11,12,11,0.493263332,0.274475357,0.676279902,0.680223635,0.50713908,0.864160818,0.575847197,2.15894
JAM3,ENSG00000166086,ENSMFAG00000038555,ENSMUSG00000031990,ENSRNOG00000009149,ENSCAFG00000009810,0,0,11,0,-13,11,0,-10,6,9,11,0,0.423804278,0.497046086,0.90755645,0.921727691,0.396509783,0.358510765,0.883487369,3.13593
JARID2,ENSG00000008083,ENSMFAG00000036879,ENSMUSG00000038518,ENSRNOG00000045918,ENSCAFG00000009885,6,9,0,0,0,-4,0,0,6,-11,0,-1,0.407962881,0.384255118,NA,NA,NA,NA,NA,4.83987
JAZF1,ENSG00000153814,ENSMFAG00000034641,ENSMUSG00000063568,ENSRNOG00000027026,ENSCAFG00000003001,0,0,0,0,0,6,0,0,6,0,-1,0,0.24477947,NA,0.796333557,0.476649857,NA,0.708933032,0.736414048,5.15797
JCHAIN,ENSG00000132465,ENSMFAG00000041799,ENSMUSG00000067149,ENSRNOG00000003666,ENSCAFG00000028568,11,0,0,0,11,-8,0,11,-9,0,0,0,0.117090482,NA,0.11535882,0.15380399,0.232628239,0.15808255,0.244608749,1.80933
JDP2,ENSG00000140044,ENSMFAG00000033637,ENSMUSG00000034271,ENSRNOG00000008224,ENSCAFG00000017042,0,-11,0,0,6,11,0,-11,0,0,11,11,0.366715089,0.352007123,0.870556673,0.697982898,0.698889476,0.723444748,0.663770795,4.85249
JMJD1C,ENSG00000171988,ENSMFAG00000000341,ENSMUSG00000037876,ENSRNOG00000000648,ENSCAFG00000013081,4,0,-7,11,0,-11,9,11,11,1,-11,0,0.618953363,0.294150895,0.804381847,0.919425565,0.900581703,0.80873082,0.908934073,NA
JMJD4,ENSG00000081692,ENSMFAG00000043012,ENSMUSG00000036819,ENSRNOG00000022438,ENSCAFG00000001187,0,0,0,0,0,-6,1,8,-6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
JMJD6,ENSG00000070495,ENSMFAG00000039650,ENSMUSG00000056962,ENSRNOG00000000250,ENSCAFG00000005139,0,0,0,-1,6,-8,0,0,6,0,10,0,0.588482965,0.363710408,NA,0.911971059,NA,0.610205781,NA,4.92056
JMJD7,ENSG00000243789,ENSMFAG00000036116,ENSMUSG00000098789,ENSRNOG00000050072,ENSCAFG00000031822,6,11,0,0,0,-6,11,-10,-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,3.52609
JMJD8,ENSG00000161999,ENSMFAG00000042974,ENSMUSG00000025736,ENSRNOG00000019729,ENSCAFG00000019628,0,0,0,0,0,9,0,0,0,0,0,0,0.619857606,NA,NA,NA,NA,NA,NA,NA
JMY,ENSG00000152409,ENSMFAG00000044839,ENSMUSG00000021690,ENSRNOG00000050343,ENSCAFG00000009055,8,0,0,0,-6,-9,9,0,0,9,-11,0,0.680943329,0.199844438,0.820143081,0.644485858,0.543945003,NA,0.56241528,3.27453
JOSD1,ENSG00000100221,ENSMFAG00000038103,ENSMUSG00000022426,ENSRNOG00000014440,ENSCAFG00000001379,0,0,0,0,0,0,0,0,0,0,-11,-6,0.698807149,NA,NA,NA,NA,NA,NA,5.12278
